turnstilelink_link_1,turnstilelink_link_1/_text,turnstilelink_link_1/_title,company_content,company_link,company_link/_text,company_link/_title,label,turnstilelink_link_2,turnstilelink_link_2/_text,turnstilelink_link_2/_title,turnstilelink_link_2_numbers,value,location_value_1,location_value_2,snip_value,snip_value_prices,moreloc_link,moreloc_link/_text,moreloc_link/_title,moreloc_link_numbers,summary_description,ialabel_value,resultlink_content,resultlink_content_numbers,resultlink_links,resultlink_links/_text,resultlink_links/_title,viewall_label,viewall_link,viewall_link/_text,viewall_link/_title,matitem_link,matitem_link/_text,matitem_link/_title,salarysearch_label,salarysearch_link,salarysearch_link/_text,salarysearch_link/_title,mat_value,mattext_link,mattext_link/_text,mattext_link/_title,moreactions_content,moreactions_link,moreactions_link/_text,moreactions_link/_title,"_PAGE_NUMBER"
"http://www.indeed.com/rc/clk?jk=5e27616313120481&fccid=de71a49b535e21cb","Data Engineer / Data Scientist","Data Engineer / Data Scientist","IBM","http://www.indeed.com/cmp/IBM?from=SERP&campaignid=serp-linkcompanyname&fromjk=5e27616313120481&jcid=de71a49b535e21cb","IBM","","-","http://www.indeed.com/cmp/IBM/reviews?jcid=de71a49b535e21cb","11,292 reviews","IBM reviews","11292","-","Austin, TX","","","","","","","","Automatically find and interpret data rich sources, merge data together, ensure data consistency, and provide insights as a service....","","30+ days ago - save job - email - more...","30","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-IBM-l-Austin,-TX-jobs.html","IBM jobs in Austin, TX","","http://www.indeed.com/l-Austin,-TX-jobs.html","Austin jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Engineer&l1=Austin%2C+TX","Data Engineer salaries in Austin, TX","","Learn more about working at","http://www.indeed.com/cmp/IBM?fromjk=5e27616313120481&from=serp-more&campaignid=serp-more&jcid=de71a49b535e21cb","IBM","","Related forums: IBM","http://www.indeed.com/forum/cmp/IBM.html","IBM","","1"
"http://www.indeed.com/rc/clk?jk=d40318ee16e8c2c8&fccid=aac6f2070b0f3775","Data & Analytics Scientist","Data & Analytics Scientist","GE Aviation","http://www.indeed.com/cmp/GE-Aviation?from=SERP&campaignid=serp-linkcompanyname&fromjk=d40318ee16e8c2c8&jcid=aac6f2070b0f3775","GE Aviation","","-","http://www.indeed.com/cmp/GE-Aviation/reviews?jcid=aac6f2070b0f3775","212 reviews","GE Aviation reviews","212","-","Austin, TX 78701","(Downtown area)","","","","","","","Data Engineering/Data & Analytics Scientists work with commercial and internal customers to implement new data readout configurations for airborne data...","","GE Careers - 15 days ago - save job - email - more...","-15","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-GE-Aviation-l-Austin,-TX-jobs.html","GE Aviation jobs in Austin, TX","","http://www.indeed.com/l-Austin,-TX-jobs.html","Austin jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Analytic+Scientist&l1=Austin%2C+TX","Data Analytic Scientist salaries in Austin, TX","","Learn more about working at","http://www.indeed.com/cmp/GE-Aviation?fromjk=d40318ee16e8c2c8&from=serp-more&campaignid=serp-more&jcid=aac6f2070b0f3775","GE Aviation","","Related forums: GE Aviation","http://www.indeed.com/forum/cmp/GE-Aviation.html","GE Aviation","","1"
"http://www.indeed.com/rc/clk?jk=0e7e7f0801a32b92&fccid=1b41cc7ae60b8689","Research Data Scientist","Research Data Scientist","HomeAway","http://www.indeed.com/cmp/Homeaway?from=SERP&campaignid=serp-linkcompanyname&fromjk=0e7e7f0801a32b92&jcid=1b41cc7ae60b8689","HomeAway","","-","http://www.indeed.com/cmp/Homeaway/reviews?jcid=1b41cc7ae60b8689","43 reviews","Homeaway reviews","43","-","Austin, TX 78704","(South Lamar-South Congress area)","","","","","","","If so, then HomeAway has a Data Scientist role for you…. Really love data? Do you love data? These connections generate rich, diverse, and varied data:....","","5 days ago - save job - email - more...","5","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Homeaway-l-Austin,-TX-jobs.html","HomeAway jobs in Austin, TX","","http://www.indeed.com/l-Austin,-TX-jobs.html","Austin jobs","","Salary Search:","http://www.indeed.com/salary?q1=Research+Data+Scientist&l1=Austin%2C+TX","Research Data Scientist salaries in Austin, TX","","Learn more about working at","http://www.indeed.com/cmp/Homeaway?fromjk=0e7e7f0801a32b92&from=serp-more&campaignid=serp-more&jcid=1b41cc7ae60b8689","Homeaway","","Related forums: HomeAway","http://www.indeed.com/forum/cmp/Homeaway.html","HomeAway","","1"
"http://www.indeed.com/rc/clk?cmp=Intersys%3A-Big-Data-and-Application-Development&ti=Junior+Data+Scientist&jk=2ad18b5a75d69723&fccid=673d6801630b22ec","Jr Data Scientist","Jr Data Scientist","Intersys:Big Data And Application Development","","","","-","","","","","","Austin, TX","","","","","","","","Jr Data Scientist*. Jr Data Scientist Job Description*. The junior data scientist will contribute to the production of the eCommerce platform which combines a...","Easily apply","14 days ago - save job - email - more...","14","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/jobs?q=Intersys%3Abig+Data+Application+Development&l=Austin,+TX&nc=jasx","Intersys:Big Data And Application Development jobs in Austin, TX","","http://www.indeed.com/l-Austin,-TX-jobs.html","Austin jobs","","Salary Search:","http://www.indeed.com/salary?q1=Junior+Data+Scientist&l1=Austin%2C+TX","Junior Data Scientist salaries in Austin, TX","","Learn more about working at","http://www.indeed.com/cmp/Intersys-Big-Data-and-Application-Development-1?fromjk=2ad18b5a75d69723&from=serp-more&campaignid=serp-more&jcid=0a7600726c40552a","Intersys:big Data and Application Development","","Related forums: Intersys: Big Data and Application Development","http://www.indeed.com/forum/cmp/Intersys-Big-Data-and-Application-Development-1.html","Intersys: Big Data and Application Development","","1"
"http://www.indeed.com/rc/clk?jk=456edeb7d7370c2d&fccid=0918a251e6902f97","Data Scientist Round Rock TX","Data Scientist Round Rock TX","Dell","http://www.indeed.com/cmp/Dell?from=SERP&campaignid=serp-linkcompanyname&fromjk=456edeb7d7370c2d&jcid=0918a251e6902f97","Dell","","-","http://www.indeed.com/cmp/Dell/reviews?jcid=0918a251e6902f97","2,764 reviews","Dell reviews","2764","-","Round Rock, TX 78664","","","","http://www.indeed.com/jobs?q=data+scientist+%2420%2C000%2B&l=Austin%2C+TX&rbt=Data+Scientist+Round+Rock+TX&rbc=Dell&jtid=23914753485c387e&jcid=0918a251e6902f97&limit=100&grp=tcl","+1 location","","","Data Scientist - Round Rock, TX. Strong familiarity and experience with data preparation and processing such as assessment of data quality, new variable...","","15 days ago - save job - email - more...","15","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Dell-l-Round-Rock,-TX-jobs.html","Dell jobs in Round Rock, TX","","http://www.indeed.com/l-Round-Rock,-TX-jobs.html","Round Rock jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Round+Rock%2C+TX","Data Scientist salaries in Round Rock, TX","","Learn more about working at","http://www.indeed.com/cmp/Dell?fromjk=456edeb7d7370c2d&from=serp-more&campaignid=serp-more&jcid=0918a251e6902f97","Dell","","Related forums: Dell","http://www.indeed.com/forum/cmp/Dell.html","Dell","","1"
"http://www.indeed.com/cmp/HireStarter/jobs/Data-Scientist-b05e3576bba10b53?r=1&fccid=0bc7cdfac9585c14","Data Scientist","Data Scientist","HireStarter","","","","-","","","","","","Austin, TX 78751","(Hyde Park area)","","","","","","","Extracting data from various applications and systems, in particular, large relational databases. Advanced degree in Computer Science, Data Science, Mathematics...","Easily apply","12 days ago - save job - email - more...","12","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Hirestarter-l-Austin,-TX-jobs.html","HireStarter jobs in Austin, TX","","http://www.indeed.com/l-Austin,-TX-jobs.html","Austin jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist&l1=Austin%2C+TX","Data Scientist salaries in Austin, TX","","Learn more about working at","http://www.indeed.com/cmp/Hirestarter?fromjk=b05e3576bba10b53&from=serp-more&campaignid=serp-more&jcid=c864f861e167a418","Hirestarter","","Related forums: HireStarter","http://www.indeed.com/forum/cmp/Hirestarter.html","HireStarter","","1"
"http://www.indeed.com/rc/clk?jk=3a7de7e1cc0e79c8&fccid=e198e2c44e180800","Data Scientist – Predictive Analytics","Data Scientist – Predictive Analytics","Gallup","http://www.indeed.com/cmp/Gallup?from=SERP&campaignid=serp-linkcompanyname&fromjk=3a7de7e1cc0e79c8&jcid=e198e2c44e180800","Gallup","","-","http://www.indeed.com/cmp/Gallup/reviews?jcid=e198e2c44e180800","58 reviews","Gallup reviews","58","-","Austin, TX","","","","","","","","Gallup data scientists help clients effectively use data to make better decisions. Experience merging and analyzing large, diverse data sources — especially...","","15 days ago - save job - email - more...","15","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Gallup-l-Austin,-TX-jobs.html","Gallup jobs in Austin, TX","","http://www.indeed.com/l-Austin,-TX-jobs.html","Austin jobs","","Salary Search:","http://www.indeed.com/salary?q1=Data+Scientist+Predictive+Analytic&l1=Austin%2C+TX","Data Scientist Predictive Analytic salaries in Austin, TX","","Learn more about working at","http://www.indeed.com/cmp/Gallup?fromjk=3a7de7e1cc0e79c8&from=serp-more&campaignid=serp-more&jcid=e198e2c44e180800","Gallup","","Related forums: Gallup","http://www.indeed.com/forum/cmp/Gallup.html","Gallup","","1"
"http://www.indeed.com/rc/clk?jk=19fb503a992d5ac3&fccid=fd8621e54fa6c86e","Lead Data Scientist","Lead Data Scientist","Windhaven Insurance","http://www.indeed.com/cmp/Windhaven-Insurance?from=SERP&campaignid=serp-linkcompanyname&fromjk=19fb503a992d5ac3&jcid=fd8621e54fa6c86e","Windhaven Insurance","","-","http://www.indeed.com/cmp/Windhaven-Insurance/reviews?jcid=fd8621e54fa6c86e","7 reviews","Windhaven Insurance reviews","7","-","Austin, TX","","","","","","","","Work with other data scientists with a broad range of analytical expertise and subject matter experts to deliver data products and provide business insights...","","12 days ago - save job - email - more...","12","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Windhaven-Insurance-l-Austin,-TX-jobs.html","Windhaven Insurance jobs in Austin, TX","","http://www.indeed.com/l-Austin,-TX-jobs.html","Austin jobs","","Salary Search:","http://www.indeed.com/salary?q1=Lead+Data+Scientist&l1=Austin%2C+TX","Lead Data Scientist salaries in Austin, TX","","Learn more about working at","http://www.indeed.com/cmp/Windhaven-Insurance?fromjk=19fb503a992d5ac3&from=serp-more&campaignid=serp-more&jcid=fd8621e54fa6c86e","Windhaven Insurance","","Related forums: windhaven insurance","http://www.indeed.com/forum/cmp/Windhaven-Insurance.html","windhaven insurance","","1"
"http://www.indeed.com/rc/clk?jk=1f06adf4b96d139e&fccid=9f49b993d0d09404","Research Scientist","Research Scientist","21CT","http://www.indeed.com/cmp/21ct?from=SERP&campaignid=serp-linkcompanyname&fromjk=1f06adf4b96d139e&jcid=3dc2a969ed3d49f7","21CT","","-","http://www.indeed.com/cmp/21ct/reviews?jcid=3dc2a969ed3d49f7","5 reviews","","5","-","Austin, TX","","","","","","","","Deep learning, data mining, data fusion, machine learning, statistical analysis, natural language processing....","","9 days ago - save job - email - more...","9","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-21ct-l-Austin,-TX-jobs.html","21CT jobs in Austin, TX","","http://www.indeed.com/l-Austin,-TX-jobs.html","Austin jobs","","Salary Search:","http://www.indeed.com/salary?q1=Research+Scientist&l1=Austin%2C+TX","Research Scientist salaries in Austin, TX","","Learn more about working at","http://www.indeed.com/cmp/21ct?fromjk=1f06adf4b96d139e&from=serp-more&campaignid=serp-more&jcid=3dc2a969ed3d49f7","21ct","","Related forums: 21CT","http://www.indeed.com/forum/cmp/21ct.html","21CT","","1"
"http://www.indeed.com/rc/clk?jk=06877e28300b06b2&fccid=c267f29f0f85e8b8","Compiler Machine Learning Verification Engineer","Compiler Machine Learning Verification Engineer","NVIDIA","http://www.indeed.com/cmp/Nvidia?from=SERP&campaignid=serp-linkcompanyname&fromjk=06877e28300b06b2&jcid=c267f29f0f85e8b8","NVIDIA","","-","http://www.indeed.com/cmp/Nvidia/reviews?jcid=c267f29f0f85e8b8","79 reviews","Nvidia reviews","79","-","Austin, TX","","","","","","","","Compiler Machine Learning Verification Engineer Do you visualize your future at NVIDIA? WE DO! We are now looking for a Compiler Machine Learning","","1 day ago - save job - email - more...","1","http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com; http://www.indeed.com/jobs?as_and=data+scientist&as_phr=&as_any=&as_not=&as_ttl=&as_cmp=&jt=all&st=&salary=$20,000%2B&radius=25&l=Austin,+TX&fromage=any&limit=100&sort=&psf=advsrch#","save job; email; more...","Save this job to my.indeed; ; ","View all","http://www.indeed.com/q-Nvidia-l-Austin,-TX-jobs.html","NVIDIA jobs in Austin, TX","","http://www.indeed.com/l-Austin,-TX-jobs.html","Austin jobs","","Salary Search:","http://www.indeed.com/salary?q1=Compiler+Machine+Learning+Verification+Engineer&l1=Austin%2C+TX","Compiler Machine Learning Verification Engineer salaries in Austin, TX","","Learn more about working at","http://www.indeed.com/cmp/Nvidia?fromjk=06877e28300b06b2&from=serp-more&campaignid=serp-more&jcid=c267f29f0f85e8b8","Nvidia","","Related forums: NVIDIA","http://www.indeed.com/forum/cmp/Nvidia.html","NVIDIA","","1"
